scale_free_4,1,1,3.0,0.0,0.0625,PairWise,BD,6,0.0
regular_4,1,1,3.0,0.0,0.0625,PairWise,BD,6,0.0
random_4,1,1,3.0,0.0,0.0625,PairWise,BD,6,0.0
scale_free_4,2,1,3.0,0.0,0.0625,PairWise,BD,6,0.0
regular_4,2,1,3.0,0.0,0.0625,PairWise,BD,6,0.0
random_4,2,1,3.0,0.0,0.0625,PairWise,BD,6,0.0004045954045954049
scale_free_4,3,1,3.0,0.0,0.0625,PairWise,BD,6,0.0
regular_4,3,1,3.0,0.0,0.0625,PairWise,BD,6,0.0
random_4,3,1,3.0,0.0,0.0625,PairWise,BD,6,0.0
scale_free_4,4,1,3.0,0.0,0.0625,PairWise,BD,6,0.0
regular_4,4,1,3.0,0.0,0.0625,PairWise,BD,6,0.0
random_4,4,1,3.0,0.0,0.0625,PairWise,BD,6,0.0
scale_free_4,5,1,3.0,0.0,0.0625,PairWise,BD,6,0.0
regular_4,5,1,3.0,0.0,0.0625,PairWise,BD,6,0.0
random_4,5,1,3.0,0.0,0.0625,PairWise,BD,6,0.0
scale_free_4,6,1,3.0,0.0,0.0625,PairWise,BD,6,0.0
regular_4,6,1,3.0,0.0,0.0625,PairWise,BD,6,0.0
random_4,6,1,3.0,0.0,0.0625,PairWise,BD,6,0.0
scale_free_4,1,2,3.0,0.0,0.0625,PairWise,BD,6,0.0
regular_4,1,2,3.0,0.0,0.0625,PairWise,BD,6,0.0
random_4,1,2,3.0,0.0,0.0625,PairWise,BD,6,0.0
scale_free_4,2,2,3.0,0.0,0.0625,PairWise,BD,6,0.0
regular_4,2,2,3.0,0.0,0.0625,PairWise,BD,6,0.0
random_4,2,2,3.0,0.0,0.0625,PairWise,BD,6,0.0
scale_free_4,3,2,3.0,0.0,0.0625,PairWise,BD,6,0.0
regular_4,3,2,3.0,0.0,0.0625,PairWise,BD,6,0.0
random_4,3,2,3.0,0.0,0.0625,PairWise,BD,6,0.0
scale_free_4,4,2,3.0,0.0,0.0625,PairWise,BD,6,0.0
regular_4,4,2,3.0,0.0,0.0625,PairWise,BD,6,0.0
random_4,4,2,3.0,0.0,0.0625,PairWise,BD,6,0.0
scale_free_4,5,2,3.0,0.0,0.0625,PairWise,BD,6,0.0
regular_4,5,2,3.0,0.0,0.0625,PairWise,BD,6,0.0
random_4,5,2,3.0,0.0,0.0625,PairWise,BD,6,0.0
scale_free_4,6,2,3.0,0.0,0.0625,PairWise,BD,6,0.0
regular_4,6,2,3.0,0.0,0.0625,PairWise,BD,6,0.0
